Instfor,"Ekrane pamatysite devynis mėlynus kvadratėlius. Kiekvieno bandymo metu kvadratėliai po vieną užsidegs tam tikra seka. Pamėginkite įsiminti tą seką. Kai seka pasibaigs, jums reikės pelyte paeiliui paspausti kvadratėlius TA PAČIA SEKA, KURIA JIE UŽSIDEGĖ. Kai baigsite, paspauskite mygtuką BAIGIAU. Jei negalite atsiminti visos sekos, pamėginkite pakartoti seką kaip galite geriausiai.\nSeka prasidės nuo dviejų kvadratėlių, kiekvieną kartą turėsite po du bandymus. \n\nJei seką užpildysite teisingai, užduotis pasunkės.\n\nPaspauskite 'Enter', jei norite pradėti."
Instback,"Ekrane pamatysite devynis mėlynus kvadratėlius. Kiekvieno bandymo metu kvadratėliai po vieną užsidegs tam tikra seka. Pamėginkite įsiminti tą seką. Kai seka pasibaigs, jums reikės paeiliui paspausti kvadratėlius TA PAČIA SEKA, KURIA JIE UŽSIDEGĖ. Kai baigsite, paspauskite mygtuką BAIGIAU. Jei negalite atsiminti visos sekos, pamėginkite pakartoti seką kaip galite geriausiai.\n\nSeka prasidės nuo dviejų kvadratėlių, kiekvieną kartą turėsite po du bandymus. \n\nJei seką užpildysite teisingai, užduotis pasunkės.\n\nPaspauskite 'Enter', jei norite pradėti."
Prompt1,"Pirmi trys bandymai nebus įskaičiuoti į rezultatus. Paspauskite 'Enter', kad pradėti bandymą."
gPrompt2,"Dabar pradėsime tikrąjį tyrimą. Paspauskite 'Enter', jei norite pradėti"
PromptFinal1,"Tyrimo dalis baigta. Spauskite bet kurį mygtuką." 
PromptFinal2,"Atsiminimas:           "
PromptFinal3,"Bendras įvertis:          "
PromptFinal4,"Viso teisingų bandymų: "
PromptFinal5,"Atminties dydis:          "
Ready,"Pasiruošęs"
Correct,"Teisingai"
Incorrect,"Neteisingai"
Done,"Baigiau"
