inst1,"In this task, you must decide which of two lines are longer; the one on the left or the one on the right.  Use the left and right keys to indicate which one.  On each trial, there is a deadline.  You must make a response before the red timer disappears.  Press OK to continue."
lab1,"Place hands on left and right shift; press either shift to begin."
interim,"The data from this and previous blocks appear on the table to the right.  You may take a short break before continuing to the next block."
respond,"Respond with shift keys"
cont,"Hit a shift key to continue"
debrief,"Thank you for taking part in this study.  You may have noticed that as the deadline got faster, it got more difficult to make the correct response. This is known as a speed-accuracy trade-off.  Hit OK to continue"
correct,"Correct"
incorrect,"Incorrect"
tooslow,"Too slow"
footer,"<lshift>          Which is longer?        <rshift>"
language,"EN"
