instfor,"A continuación vas a realizar una prueba que evaluará tu capacidad para recordar secuencias ordenadas de elementos que aparecerán en la pantalla. Observarás nueve cuadrados azules que aparecerán en la pantalla. En cada intento los cuadrados se encenderán uno a la vez en un orden específico. Debes recordar ese orden y cuando los cuadrados dejen de encenderse deberás hacer clic EN EL MISMO ORDEN EN EL QUE SE ENCENDIERON AL PRINCIPIO. Cuando termines la secuencia da clic en el botón DONE. Si no recuerdas el orden de los cuadrados selecciónalos aproximadamente de acuerdo al orden original.\nComenzarás con una secuencia de dos cuadrados y tendrás dos intentos para cada secuencia. El tamaño de las secuencias de bloques que se encenderán aumentará en uno siempre y cuando logres contestar correctamente alguno de los dos intentos anteriores. Si realizas una secuencia de manera correcta tu próxima secuencia será más larga.\nPresiona el clic  cuando estés listo para comenzar."
instback,"<NOT TRANSLATED BACKWARD INSTRUCTIONS>. A continuación vas a realizar una prueba que evaluará tu capacidad para recordar secuencias ordenadas de elementos que aparecerán en la pantalla. Observarás nueve cuadrados azules que aparecerán en la pantalla. En cada intento los cuadrados se encenderán uno a la vez en un orden específico. Debes recordar ese orden y cuando los cuadrados dejen de encenderse deberás hacer clic EN EL MISMO ORDEN EN EL QUE SE ENCENDIERON AL PRINCIPIO. Cuando termines la secuencia da clic en el botón DONE. Si no recuerdas el orden de los cuadrados selecciónalos aproximadamente de acuerdo al orden original.\nComenzarás con una secuencia de dos cuadrados y tendrás dos intentos para cada secuencia. El tamaño de las secuencias de bloques que se encenderán aumentará en uno siempre y cuando logres contestar correctamente alguno de los dos intentos anteriores. Si realizas una secuencia de manera correcta tu próxima secuencia será más larga.\nPresiona el clic cuando estés listo para comenzar."
prompt1,"Primeramente realizarás tres ensayos de práctica para que te familiarices con la prueba. Estos resultados no afectarán tu puntuación en la prueba."
prompt2,"Ahora, podrás ver realizar los ensayos normales. Estos contarán para su puntuación . Haga clic en el ratón para empezar."
PromptFinal1,"Gracias por participar. Alertar al experimentador que haya terminado."
PromptFinal2,"Block Span:           "
PromptFinal3,"Total Score:          "
PromptFinal4,"Total Correct Trials: "
PromptFinal5,"Memory span:          "
ready,"LISTO"
correct,"Correcto"
incorrect,"Incorrecto"
done,"Hecho"
author,"Yunior Broche"
