instfor,"Du kommer att få göra ett test som mäter förmågan att komma ihåg ordningsföljder. Du kommer se nio blå fyrkanter på skärmen. Under varje försök kommer fyrkanterna lysa upp en efter en i en särskild ordning. Försök att komma ihåg ordningsföljden. När försöket är avslutat, ska du trycka på alla fyrkanterna som lyste I SAMMA ORDNING. När du är färdig, tryck på KLAR. Om du inte kan komma ihåg ordningsföljden exakt, tryck på fyrkanterna i en ordning som är så rätt som möjligt.\n Du kommer starta med en sekvens av två fyrkanter, och du kommer få två försök på varje sekvenslängd. Sekvensen kommer att öka med en fyrkant om du repeterar minst en av sekvenserna korrekt. Om du trycker rätt så kommer nästa sekvens vara en fyrkant längre;\nKlicka med musknappen när du är redo att starta."
instback,"""Du kommer att få göra ett test som mäter förmågan att komma ihåg ordningsföljder. Du kommer se nio blå fyrkanter på skärmen. Under varje försök kommer fyrkanterna lysa upp en efter en i en särskild ordning. Försök att komma ihåg ordningsföljden. När försöket är avslutat ska du trycka på alla fyrkanterna som lyste, men du ska göra det I OMVÄND ORDNING. Du ska alltså trycka på den sista fyrkanten som lyste först, sen den näst sista, och så vidare, fram till att du trycker på den första fyrkanten som lyste allra sist. När du är färdig, tryck på KLAR. Om du inte kan komma ihåg ordningsföljden exakt, försök att trycka på fyrkanterna i en ordning som är så rätt som möjligt.\nDu kommer starta med en sekvens av två fyrkanter, och du kommer få två försök på varje sekvenslängd. Sekvensen kommer att öka med en fyrkant om du repeterar minst en av sekvenserna korrekt. Om du trycker rätt så kommer nästa sekvens vara en fyrkant längre;
   Klicka med musknappen när du är redo att starta."
prompt1,Först kommer vi göra några övningsuppgifter. De kommer inte påverka din poäng.
prompt2,Nu börjar vi med testet. Dessa försök kommer att räknas mot din poäng. Klicka med musknappen för att starta.
PromptFinal1,Tack för din medverkan. Säg till försöksledaren att du är klar.
PromptFinal2,Blockspann:           
PromptFinal3,Total poäng:          
PromptFinal4,Antal korrekta försök: 
PromptFinal5,Minnesspann:           
ready,REDO
correct,Rätt
incorrect,Fel
done,Klar
author,Anna Eva Hallin
